param,paramName,shortName,unit,encoding,isNemo,isIcon,stream,type,time,levtype,levelist
263501,Time-mean sea water potential temperature,avg_thetao,K,mean,IFS-NEMO,ICON,clte,fc,Daily,ml,"1 to 75 (NEMO), 1 to 70 (FESOM), 1 to 64 (ICON)"
263505,Time-mean northward sea water velocity,avg_von,m s**-1,mean,IFS-NEMO,ICON,clte,fc,Daily,ml,"1 to 75 (NEMO), 1 to 70 (FESOM), 1 to 64 (ICON)"
263506,Time-mean eastward sea water velocity,avg_uoe,m s**-1,mean,IFS-NEMO,ICON,clte,fc,Daily,ml,"1 to 75 (NEMO), 1 to 70 (FESOM), 1 to 64 (ICON)"
263507,Time-mean upward sea water velocity,avg_wo,m s**-1,mean,IFS-NEMO,ICON,clte,fc,Daily,ml,"1 to 75 (NEMO), 1 to 70 (FESOM), 1 to 64 (ICON)"
8,Surface runoff,sro,m,accumulated,IFS-NEMO,,clte,fc,Hourly,sfc,
9,Sub-surface runoff,ssro,m,accumulated,IFS-NEMO,,clte,fc,Hourly,sfc,
144,Snowfall,sf,m of water equivalent,accumulated,IFS-NEMO,,clte,fc,Hourly,sfc,
146,Surface sensible heat flux,sshf,J m**-2,accumulated,IFS-NEMO,,clte,fc,Hourly,sfc,
147,Surface latent heat flux,slhf,J m**-2,accumulated,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
169,Surface short-wave (solar) radiation downwards,ssrd,J m**-2,accumulated,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
175,Surface long-wave (thermal) radiation downwards,strd,J m**-2,accumulated,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
176,Surface net short-wave (solar) radiation,ssr,J m**-2,accumulated,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
177,Surface net long-wave (thermal) radiation,str,J m**-2,accumulated,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
178,Top net short-wave (solar) radiation,tsr,J m**-2,accumulated,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
179,Top net long-wave (thermal) radiation,ttr,J m**-2,accumulated,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
180,Time-integrated eastward turbulent surface stress,ewss,N m**-2 s,accumulated,IFS-NEMO,,clte,fc,Hourly,sfc,
181,Time-integrated northward turbulent surface stress,nsss,N m**-2 s,accumulated,IFS-NEMO,,clte,fc,Hourly,sfc,
182,Evaporation,e,m of water equivalent,accumulated,IFS-NEMO,,clte,fc,Hourly,sfc,
212,TOA incident short-wave (solar) radiation,tisr,J m**-2,accumulated,IFS-NEMO,,clte,fc,Hourly,sfc,
228,Total precipitation,tp,m,accumulated,IFS-NEMO,,clte,fc,Hourly,sfc,
260654,Time-integrated eastward turbulent surface stress due to surface roughness,etsssr,N m**-2 s,accumulated,,ICON,clte,fc,Hourly,sfc,
260655,Time-integrated northward turbulent surface stress due to surface roughness,ntsssr,N m**-2 s,accumulated,,ICON,clte,fc,Hourly,sfc,
